epoch,accuracy,loss
0,0.4614335000514984,1.5965198278427124
1,0.6201942563056946,1.1240692138671875
2,0.6893008947372437,0.9098861217498779
3,0.7395457029342651,0.7712485790252686
4,0.7683200836181641,0.6704908609390259
5,0.797094464302063,0.586211621761322
6,0.8208122849464417,0.5094947814941406
7,0.8491050601005554,0.4320618510246277
8,0.8709366917610168,0.37033990025520325
9,0.891283392906189,0.30565133690834045
10,0.9126334190368652,0.24893319606781006
11,0.9302512407302856,0.20012089610099792
12,0.9394814968109131,0.17459078133106232
13,0.9552130699157715,0.13484768569469452
14,0.9605506062507629,0.11349140852689743
15,0.9665703773498535,0.09702662378549576
16,0.9734730124473572,0.08037962019443512
17,0.973713755607605,0.07763545215129852
18,0.9799341559410095,0.05966772511601448
19,0.9796532392501831,0.05954024940729141
20,0.9812183976173401,0.05548964440822601
21,0.9813789129257202,0.0543825738132
22,0.9844690561294556,0.04550011456012726
23,0.9851512908935547,0.04340147227048874
24,0.9857131242752075,0.04154086858034134
25,0.9897263050079346,0.03090994991362095
26,0.9829038977622986,0.05143817514181137
27,0.9888835549354553,0.033878836780786514
28,0.989284873008728,0.03131984919309616
29,0.9835460186004639,0.048579152673482895
30,0.9908098578453064,0.02988104708492756
31,0.9961473345756531,0.011702891439199448
32,0.9945822358131409,0.017335226759314537
33,0.9824223518371582,0.053700435906648636
34,0.9899269342422485,0.029455501586198807
35,0.9944618344306946,0.017343204468488693
36,0.9922546148300171,0.02382439374923706
