epoch,accuracy,loss
0,0.7128205299377441,2.372743844985962
1,0.8769230842590332,0.4725067913532257
2,0.9589743614196777,0.15558625757694244
3,0.9948717951774597,0.05281126871705055
4,0.9974358677864075,0.019896160811185837
5,1.0,0.009982692077755928
6,1.0,0.006771048530936241
7,1.0,0.00514038885012269
8,1.0,0.004170422907918692
9,1.0,0.0034551320131868124
