epoch,accuracy,loss
0,0.2846043109893799,1.9802870750427246
1,0.48172661662101746,1.477919340133667
2,0.5533813238143921,1.25887930393219
3,0.6023021340370178,1.1328277587890625
4,0.6366426944732666,1.0366357564926147
5,0.6581295132637024,0.9553269147872925
6,0.6933333277702332,0.8784468770027161
7,0.7125179767608643,0.8192280530929565
8,0.7224940061569214,0.7764978408813477
9,0.7367865443229675,0.7335529327392578
10,0.7537649869918823,0.6859599351882935
11,0.7709352374076843,0.6466502547264099
12,0.781390905380249,0.6090025305747986
13,0.7936690449714661,0.5695716738700867
14,0.7999040484428406,0.548236072063446
15,0.8115108013153076,0.51713627576828
16,0.8324220776557922,0.46397313475608826
17,0.8429736495018005,0.4318634271621704
18,0.8534292578697205,0.4020772874355316
19,0.866570770740509,0.36869895458221436
20,0.8788489103317261,0.3349539041519165
21,0.8915107846260071,0.2976219058036804
22,0.885179877281189,0.3043363690376282
23,0.9089688062667847,0.2504267692565918
24,0.9214388728141785,0.2229638546705246
25,0.9157793521881104,0.23569554090499878
26,0.9324700236320496,0.19051258265972137
27,0.9372661709785461,0.17365266382694244
28,0.9449400305747986,0.15793383121490479
29,0.9406235218048096,0.17057259380817413
30,0.9480096101760864,0.14712339639663696
31,0.9517505764961243,0.1387496441602707
32,0.9437889456748962,0.15165604650974274
33,0.9593285322189331,0.11319631338119507
34,0.960959255695343,0.11005838215351105
35,0.9520383477210999,0.1331556737422943
36,0.9670982956886292,0.0964171513915062
37,0.968920886516571,0.09349218755960464
38,0.9711270928382874,0.08784089982509613
39,0.9727578163146973,0.0848054364323616
40,0.9732373952865601,0.07876253128051758
41,0.9673860669136047,0.09535370767116547
42,0.9704556465148926,0.08335831761360168
43,0.9617266058921814,0.11627399176359177
44,0.9737170338630676,0.07963555306196213
45,0.973621129989624,0.07928833365440369
